Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2024-09-13 00:00:00-04:00,38.95000076293945,39.349998474121094,37.68000030517578,37.79999923706055,9946100,0.0,0.0
2024-09-16 00:00:00-04:00,37.970001220703125,38.77000045776367,37.650001525878906,38.2400016784668,8610700,0.0,0.0
2024-09-17 00:00:00-04:00,38.470001220703125,39.310001373291016,38.369998931884766,38.95000076293945,9093100,0.0,0.0
2024-09-18 00:00:00-04:00,38.97999954223633,39.439998626708984,37.97999954223633,38.06999969482422,8237300,0.0,0.0
2024-09-19 00:00:00-04:00,39.119998931884766,39.48500061035156,38.619998931884766,39.27000045776367,7430000,0.0,0.0
2024-09-20 00:00:00-04:00,39.09000015258789,39.380001068115234,38.439998626708984,39.279998779296875,7375500,0.0,0.0
2024-09-23 00:00:00-04:00,39.643001556396484,40.4900016784668,39.08000183105469,39.630001068115234,9223200,0.0,0.0
2024-09-24 00:00:00-04:00,39.900001525878906,40.34000015258789,39.08000183105469,39.13999938964844,8056500,0.0,0.0
2024-09-25 00:00:00-04:00,41.0099983215332,41.97999954223633,40.15999984741211,41.099998474121094,19885200,0.0,0.0
2024-09-26 00:00:00-04:00,41.959999084472656,42.310001373291016,40.82500076293945,40.939998626708984,9379400,0.0,0.0
2024-09-27 00:00:00-04:00,41.029998779296875,41.22999954223633,39.52000045776367,40.36000061035156,7163100,0.0,0.0
2024-09-30 00:00:00-04:00,40.290000915527344,40.68000030517578,39.02000045776367,39.20000076293945,7820200,0.0,0.0
2024-10-01 00:00:00-04:00,39.09000015258789,39.257999420166016,37.689998626708984,38.25,9536400,0.0,0.0
2024-10-02 00:00:00-04:00,37.939998626708984,38.22999954223633,37.5620002746582,37.66999816894531,7181500,0.0,0.0
2024-10-03 00:00:00-04:00,37.2599983215332,38.0099983215332,37.06999969482422,38.0,6079600,0.0,0.0
2024-10-04 00:00:00-04:00,39.0099983215332,39.310001373291016,38.310001373291016,39.279998779296875,6753900,0.0,0.0
2024-10-07 00:00:00-04:00,39.18000030517578,39.2400016784668,37.415000915527344,37.79999923706055,8345100,0.0,0.0
2024-10-08 00:00:00-04:00,37.88999938964844,38.65999984741211,37.380001068115234,37.5,6697700,0.0,0.0
2024-10-09 00:00:00-04:00,37.650001525878906,38.45000076293945,37.58000183105469,38.279998779296875,5402100,0.0,0.0
2024-10-10 00:00:00-04:00,38.04999923706055,38.310001373291016,37.345001220703125,38.040000915527344,4920600,0.0,0.0
2024-10-11 00:00:00-04:00,37.88999938964844,39.06999969482422,37.83000183105469,38.439998626708984,8410700,0.0,0.0
